model,dice_f1,precision,recall_sensitivity,boundary_f1,n_images,mean_class_dice,cldice
PUNet,0.706236764239582,0.7539665626573043,0.6641902488392369,0.6758559003827664,300,0.6841301836910096,
LMUNetM0,0.7350069615034375,0.7822836530287104,0.6931188726910303,0.7149887443721745,300,0.7030310027805879,0.7261033972058861
LMUNet,0.7505095464403401,0.8037860244229155,0.7038565833082228,0.7317783907974674,300,0.7281450732347744,
ENetUpscaleSkipD1,0.7513537535594974,0.8182893046383348,0.6945407560201147,0.732822119440026,300,0.7307306110846303,0.7430771285453215
ENetComboEG2,0.7542717375677463,0.8230049334646695,0.6961341460588195,0.7310251907610208,300,0.7344525150203024,0.7401740007751978
ENet,0.7570352012399122,0.8226506921832926,0.7011136347834122,0.7342997696068366,300,0.736267350092398,
ENetUpscaleSkipD2,0.7583033193219179,0.825865912278734,0.7009591242342045,0.7301089883686337,300,0.737812670309474,0.7414300741806107
ENetSkipA3,0.7585261119910532,0.825300430344631,0.701748286864283,0.7343843839944327,300,0.7425883599095157,0.7457040305295647
ENetGlobalCtxG10,0.7591742071348105,0.8298331398284352,0.6996040667176525,0.7364042219492326,300,0.7365411766823615,0.7461112733624301
ENetComboAG1,0.7592239021297272,0.8286909700913112,0.7005025455612955,0.7329863895803976,300,0.7418105940087582,0.7430327771389297
ENetUpscaleArchUAS8,0.759321501984966,0.8282862170248565,0.7009583516814584,0.738199512374468,300,0.7414204126629357,0.7500099589632384
ENetComboEG3,0.7595001584933536,0.8259710173344934,0.7029310651184683,0.7400984826132839,300,0.735237838590245,0.7494535089181977
ENetUpscaleArchUAS2,0.7605429354661399,0.8368092719727946,0.6970171738475418,0.7409106170026175,300,0.7403247326274337,0.7502490058194028
ENetComboAG2,0.7609318524499684,0.8243703610562367,0.7065593590902393,0.7357481169461642,300,0.7416188171252968,0.7469930523731254
ENetGlobalCtxG3,0.7634345389334068,0.8282214742812026,0.7080480682318558,0.7430086639188538,300,0.7460400167703719,0.7524321979325281
ENetE1,0.7636426777795571,0.8158162100456586,0.7177412875364039,0.7448208916235256,300,0.7418079719516881,
ENetComboAG3,0.7639341291717209,0.8334340048879313,0.7051332267210517,0.7400237928179959,300,0.74319577116278,0.7531820085691839
ENetComboEG1,0.7676045694722796,0.8310752746740719,0.7131407359337432,0.7503001229313001,300,0.7524472487665811,0.7593119094695722
